,Unnamed: 0,업소명,업소 주소,naver_map_url
0,0,목우촌부추삼겹살,서울특별시 관악구 남현1길 68-10 (남현동),https://pcmap.place.naver.com/restaurant/21025096/review/visitor#
1,1,청진동해장국,서울특별시 관악구 관악로 105 (봉천동) 동산빌딩1층,
2,2,오백냥분식,서울특별시 송파구 가락로 112 (석촌동),
3,3,토방 닭 한마리,서울특별시 관악구 신림로22길 5 (신림동),
4,4,왕세숫대야냉면(행복을파는집),서울특별시 강서구 공항대로 423(등촌동),
5,5,돌마리유황오리,서울특별시 송파구 가락로 66 (석촌동),
6,6,벧엘 칼국수,서울특별시 송파구 마천로41길 22 (마천동),
7,7,보라매25시해장국,서울특별시 양천구 신월로17길 21 (신월동 우창아파트),
8,8,해피분식,서울특별시 구로구 중앙로1길 18-19 (고척동 우성현대아파트),
9,9,금강숯불생고기,서울특별시 광진구 용마산로7길 9 (중곡동),
10,10,흥부농장,서울특별시 광진구 뚝섬로59길 81-2 (자양동),
11,11,한우마당,서울특별시 중구 남대문로5길 7 (북창동),
12,12,김밥나라,서울특별시 광진구 용마산로 52 (중곡동),
13,13,다비다식당,서울특별시 광진구 동일로 444 (중곡동),
14,14,자매식당,서울특별시 광진구 구의로 16 (구의동),
15,15,궁원 중화요리,서울특별시 동대문구 사가정로 229 (장안동),
16,16,제주토방탕수육,서울특별시 송파구 성내천로 212 (마천동),
17,17,해주냉면,서울특별시 송파구 올림픽로12길 5-22 (잠실동),
18,18,우돈골,서울특별시 송파구 위례성대로20길 24 (오금동),
19,19,자매식당,서울특별시 동대문구 이문로28길 16 (이문동),
20,20,한연수짜장,서울특별시 송파구 송이로31길 4-11 (문정동),
21,21,김밥나라,서울특별시 강서구 양천로59길 46 (가양동),
22,22,남영해물탕,서울특별시 용산구 한강대로80길 12 (남영동),
23,23,장수설렁탕,서울특별시 송파구 백제고분로 148 (잠실동),
24,24,백미식당,서울특별시 강서구 공항대로59가길 25 (등촌동),
25,25,부부칼국수,서울특별시 강서구 강서로56가길 47 (등촌동) 101호 동진빌딩,
26,26,별미 바지락칼국수,서울특별시 강동구 풍성로 160 (성내동),
27,27,뚝배기,서울특별시 강동구 양재대로 1389 (성내동),
28,28,박리김밥,서울특별시 중랑구 공릉로2길 22 (묵동),
29,29,소소한날,서울특별시 영등포구 도림로 462 (문래동3가),
30,30,부남돌구이,서울특별시 종로구 대학로2길 65-5 (효제동),
31,31,대림각,서울특별시 노원구 섬밭로 263 (중계동),
32,32,산정,서울특별시 중구 동호로 288 (장충동2가),
33,33,깡통참숯돼지갈비,서울특별시 성북구 보문로30라길 17 (동선동2가),
34,34,동춘원,서울특별시 중랑구 봉우재로71길 41 (망우동),
35,35,봉주르,서울특별시 마포구 와우산로 155-1 (서교동),
36,36,투가리올림픽,서울특별시 송파구 백제고분로 465 (방이동),
37,37,일봉,서울특별시 종로구 종로 192-1 (종로4가),
38,38,다운이,서울특별시 노원구 한글비석로 444 (상계동) 교림노원프라자 지하1층,
39,39,다사랑분식,서울특별시 관악구 난우길 18 (신림동),
40,40,제주똥돼지촌,서울특별시 구로구 구로동로28길 98 (구로동),
41,41,원조막국수,서울특별시 강북구 노해로33길 49 (수유동),
42,42,세림가든,서울특별시 영등포구 경인로 874 (영등포동1가),
43,43,김밥천국,서울특별시 강서구 가로공원로76길 61 (화곡동),
44,44,참참치킨,서울특별시 서대문구 세검정로 49-1 (홍제동),
45,45,더구어,서울특별시 서초구 효령로31길 58 (방배동),
46,46,미미치킨,서울특별시 서초구 서초대로 108 (방배동),
47,47,감베로니,서울특별시 용산구 한강대로81길 5 (갈월동),
48,48,명가영양돌솥밥,서울특별시 구로구 구로동로18길 12 (구로동),
49,49,미성각,서울특별시 도봉구 노해로 389 (창동),
50,50,신왕짜장,서울특별시 관악구 난곡로 105 (신림동),
51,51,길손한정식,서울특별시 구로구 고척로40길 33-5 (고척동),
52,52,도봉산콩나물국밥,서울특별시 도봉구 도봉로181길 53 (도봉동),
53,53,제주흑돼지,서울특별시 영등포구 영중로4길 5 (영등포동3가),
54,54,학생회관분식,서울특별시 강동구 구천면로 404 (천호동) 11호,
55,55,대형갈비,서울특별시 구로구 구로동로 100 (구로동),
56,56,수제비손칼국수,서울특별시 관악구 인헌4길 3 (봉천동),
57,57,태능숯불갈비,서울특별시 동대문구 고산자로30길 17 (용두동),
58,58,라푸스코 마포점,서울특별시 마포구 만리재옛길 18 (신공덕동),
59,59,무진장,서울특별시 용산구 원효로 212 (원효로2가),
60,60,삼성회관,서울특별시 중구 청구로3길 16 (신당동),
61,61,수원성갈비,서울특별시 종로구 창신3길 9 (창신동),
62,62,청해루,서울특별시 송파구 거마로20길 17 (마천동),
63,63,백리향,서울특별시 성동구 상원6길 10-1 (성수동1가),
64,64,신가네김밥타운,서울특별시 서대문구 증가로25길 4 (북가좌동),
65,65,설가네부대찌개,서울특별시 구로구 경인로 318-9 (개봉동),
66,66,동해루,서울특별시 성동구 왕십리로19길 8-1 (행당동),
67,67,황궁,서울특별시 구로구 경인로47길 10 (고척동),
68,68,연안식당,서울특별시 서대문구 증가로 258 (북가좌동),
69,69,만나칼국수,서울특별시 관악구 봉천로7길 23 (봉천동) 지하,
70,70,호남식당,서울특별시 송파구 거마로22길 1 (마천동),
