상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,업소URL
영업,02  5586898,127.84,135836,서울특별시 강남구 대치동 507-0번지 윈플러스상가 지하1층 101-1호,서울특별시 강남구 남부순환로 2936 지하1층 101-1호 (대치동 윈플러스상가 ),6291.0,희앤락,20100000000000.0,I,2018-08-31 23:59,한식,205405.125,443463.355,한식,34896860
영업,,34.0,135190,서울특별시 강남구 세곡동 593번지 ,서울특별시 강남구 헌릉로569길 23 A동 1층 103호 (세곡동 유진빌딩),6376.0,유진식당,20200000000000.0,I,2018-08-31 23:59,한식,208709.4545,440518.6963,한식,-
영업,,54.0,135825,서울특별시 강남구 논현동 144-17 ,서울특별시 강남구 학동로4길 28 1층 101호102호 (논현동),6114.0,한양김밥 논현곱창,20200000000000.0,U,2021-03-18 2:40,한식,202011.9329,445267.4532,한식,-
영업,34526878,95.55,135931,서울특별시 강남구 역삼동 817-33번지 지하1층 ,서울특별시 강남구 강남대로98길 12-3 (역삼동지하1층),6129.0,187호,20200000000000.0,I,2018-08-31 23:59,한식,202396.9589,444262.8223,한식,-
영업,,108.0,135816,서울특별시 강남구 논현동 65-5,서울특별시 강남구 논현로150길 22 지상1층 (논현동),6049.0,몽미,20200000000000.0,I,2021-12-06 0:08,한식,202610.4576,446349.4862,,1251511748
영업,234465292,165.0,135962,서울특별시 강남구 개포동 1197번지 ,서울특별시 강남구 논현로12길 16 지상1층 (개포동),6312.0,장곰장,20200000000000.0,U,2020-01-25 2:40,한식,204319.0335,441421.2105,한식,1279374852
영업,,101.76,135924,서울특별시 강남구 역삼동 738-11번지 ,서울특별시 강남구 논현로85길 5-5 지상1층 (역삼동),6237.0,종로계림닭도리탕원조 역삼점,20200000000000.0,I,2020-05-09 0:23,한식,203215.8817,444074.6732,한식,1150809347
영업,,165.29,135840,서울특별시 강남구 대치동 891-25번지 보성빌딩지상1층 ,서울특별시 강남구 테헤란로70길 13 (대치동보성빌딩지상1층),6194.0,아리스타커피 선릉점,20200000000000.0,U,2019-08-03 2:40,한식,204674.2801,444735.5966,한식,13086090
영업,02 5458780,454.32,135953,서울특별시 강남구 청담동 71-18번지 외1필지 ,서울특별시 강남구 영동대로 715 (청담동외1필지),6072.0,신의주찹쌀순대전문점,20000000000000.0,I,2018-08-31 23:59,한식,204841.1106,446590.2419,한식,11717080
영업,02 5683177,135.0,135878,서울특별시 강남구 삼성동 153-34번지 (지하1지상12층) ,서울특별시 강남구 테헤란로87길 53 (삼성동(지하1지상12층)),6166.0,수다 삼성1호점,20200000000000.0,U,2019-11-29 2:40,한식,204995.7169,445433.2268,한식,37282214
영업,02 2260911,6.4,135947,서울특별시 강남구 일원동 716 목련상가지층18호 ,서울특별시 강남구 광평로19길 15 지하1층 18호 (일원동 목련타운상가),6355.0,박사왕족발,20200000000000.0,U,2021-03-27 2:40,한식,207472.4723,442520.8213,한식,20631033
영업,,104.25,135917,서울특별시 강남구 역삼동 699-6 지상1층,서울특별시 강남구 봉은사로44길 68 지상1층 (역삼동),6147.0,알아차림,20200000000000.0,U,2021-12-05 22:09,한식,203721.3168,444797.2225,,1402745557
영업,205710266,22.2,135962,서울특별시 강남구 개포동 1218-18번지 ,서울특별시 강남구 개포로22길 31 (개포동),6308.0,다복콩비지,20200000000000.0,I,2018-08-31 23:59,한식,204283.7,441661.115,한식,-
영업,02  62044997,366.88,135935,서울특별시 강남구 역삼동 826,서울특별시 강남구 강남대로 374 지하2층 (역삼동),6241.0,해우리,20200000000000.0,I,2021-12-08 0:05,한식,202476.905,443782.865,,1208870591
