,사업장명,업태구분명,업소URL,지번주소,도로명주소,대표메뉴,가격정보,메뉴라벨링,외식비
0,늘,한식,1380778265,서울특별시 동작구 신대방동 395-70번지 전문건설회관 지하1층 ,서울특별시 동작구 보라매로5길 15 (신대방동전문건설회관 지하1층),야채비빔밥,7000원,비빔밥,
1,백가네해물칼국수,한식,18752808,서울특별시 동작구 노량진동 261-10 ,서울특별시 동작구 노량진로8길 28 (노량진동),해물칼국수,"8,000원",칼국수,8385
2,구구향훠궈,한식,31148801,서울특별시 동작구 사당동 138-3 102호 ,서울특별시 동작구 동작대로27다길 26 (사당동102호),,,,
3,놀부자 정육식당,한식,1459730247,서울특별시 동작구 상도동 500-16 1층 ,서울특별시 동작구 상도로 383 (상도동 1층),생삼겹살,8500원,,
4,할미가,한식,1155852774,서울특별시 동작구 사당동 265-10번지 외1필지 (지하1층) ,서울특별시 동작구 사당로 220 (사당동외1필지 (지하1층)),,,,
5,우주매점,한식,1827675196,서울특별시 동작구 노량진동 13-6 ,서울특별시 동작구 노들로 674 지상1층 매점7호 (노량진동),,,,
6,맘스터치,한식,33821442,서울특별시 동작구 노량진동 85-6번지 ,서울특별시 동작구 노량진로14가길 14 (노량진동),,,,
7,고기스토리,한식,32848774,서울특별시 동작구 상도동 502-11 ,서울특별시 동작구 상도로61길 21 (상도동),,,,
8,흑수돈(흑석동수제돈까스),한식,33492432,서울특별시 동작구 흑석동 54-142번지 제1호 1층 ,서울특별시 동작구 서달로14나길 27 (흑석동 제1호 1층),,,,
9,브로이제트3호점,한식,1096237126,서울특별시 동작구 사당동 139-84번지 ,서울특별시 동작구 동작대로27가길 5 지하1층 (사당동),,,,
10,김여사도시락,한식,1838789561,서울특별시 동작구 노량진동 330 삼익주상복합아파트 ,서울특별시 동작구 만양로 84 지하층 25호 (노량진동 삼익주상복합아파트),,,,
11,식객,한식,20937772,서울특별시 동작구 노량진동 124-4번지 ,서울특별시 동작구 만양로14길 29 지상1지하1층 (노량진동),,,,
12,짬뽕상회,한식,35111665,서울특별시 동작구 대방동 407-10번지 ,서울특별시 동작구 여의대방로24길 7 (대방동),,,,
13,처갓집양념치킨 사당2점,한식,1722893058,서울특별시 동작구 사당동 91-184 ,서울특별시 동작구 동작대로29나길 30 1층 (사당동),,,,
14,산수정,한식,20888343,서울특별시 동작구 사당동 1041-34 ,서울특별시 동작구 동작대로3길 17 (사당동),,,,
15,홍천닭갈비,한식,18714929,서울특별시 동작구 흑석동 190-3 ,서울특별시 동작구 흑석로 95-1 (흑석동),,,,
16,샤브로21,한식,1192685856,서울특별시 동작구 노량진동 148-55 ,서울특별시 동작구 만양로18길 21 1층 (노량진동),,,,
17,레커훈스,한식,18692799,서울특별시 동작구 노량진동 120-3 ,서울특별시 동작구 만양로 83 (노량진동),,,,
18,대원,한식,20918718,서울특별시 동작구 신대방동 395-68 ,서울특별시 동작구 보라매로5가길 24 (신대방동),,,,
19,홍두깨칼국수,한식,1271679732,서울특별시 동작구 사당동 133-13,서울특별시 동작구 동작대로29길 7 1층 (사당동),손칼국수,"3,000원",칼국수,8385
20,가마솥손두부,한식,11888078,서울특별시 동작구 사당동 1041-7번지 ,서울특별시 동작구 남부순환로271길 20 (사당동),,,,
21,광명,한식,37943779,서울특별시 동작구 상도동 355-7 ,서울특별시 동작구 상도로 124 (상도동),,,,
22,쑈쌩크,한식,1979867258,서울특별시 동작구 대방동 341-1 ,서울특별시 동작구 여의대방로54길 5 (대방동),,,,
23,한쿡,한식,1174629728,서울특별시 동작구 흑석동 224-1 중앙대학교병원 ,서울특별시 동작구 흑석로 102 중앙대학교병원 지하1층 B106호 (흑석동),비빔밥정식,10000원,비빔밥,
24,호프왕노가리,한식,242766643,서울특별시 동작구 상도동 194-14 ,서울특별시 동작구 상도로22길 44 1층 (상도동),,,,
