,상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,검색명,업소URL,대표메뉴,가격정보
0,영업,,64.74,156849,서울특별시 동작구 신대방동 395-70번지 전문건설회관 지하1층 ,서울특별시 동작구 보라매로5길 15 (신대방동전문건설회관 지하1층),,늘,20100000000000.0,I,2018-08-31 23:59,한식,193232.0279,443314.0572,한식,동작구 신대방동늘,1380778265,된장찌개,"7,000원"
1,영업,02 8156555,16.01,156804,서울특별시 동작구 노량진동 261-10 ,서울특별시 동작구 노량진로8길 28 (노량진동),6930.0,백가네해물칼국수,20200000000000.0,U,2021-12-14 2:40,한식,194347.0685,445597.5115,한식,동작구 노량진동백가네해물칼국수,18752808,해물칼국수,"8,000원"
2,영업,02 5357866,96.4,156816,서울특별시 동작구 사당동 138-3 102호 ,서울특별시 동작구 동작대로27다길 26 (사당동102호),7008.0,구구향훠궈,20200000000000.0,U,2020-12-11 2:40,한식,198181.9469,442684.3355,한식,동작구 사당동구구향훠궈,31148801,무한리필 훠궈,"19,900원"
3,영업,,146.2,156030,서울특별시 동작구 상도동 500-16 1층 ,서울특별시 동작구 상도로 383 (상도동 1층),7027.0,놀부자 정육식당,20200000000000.0,U,2021-10-31 2:40,한식,195961.5667,443647.0864,한식,동작구 상도동놀부자 정육식당,1459730247,숯불 무한리필,"13,900원"
4,영업,02  34871001,84.76,156821,서울특별시 동작구 사당동 265-10번지 외1필지 (지하1층) ,서울특별시 동작구 사당로 220 (사당동외1필지 (지하1층)),7010.0,할미가,20200000000000.0,I,2018-08-31 23:59,한식,197472.4706,442415.476,한식,동작구 사당동할미가,1155852774,삼합소,"35,000원"
5,영업,,11.4,156800,서울특별시 동작구 노량진동 13-6 ,서울특별시 동작구 노들로 674 지상1층 매점7호 (노량진동),6900.0,우주매점,20200000000000.0,U,2021-01-10 2:40,한식,194346.1567,445823.5009,한식,동작구 노량진동우주매점,1827675196,-,-
6,영업,02 8126842,14.04,156800,서울특별시 동작구 노량진동 85-6번지 ,서울특별시 동작구 노량진로14가길 14 (노량진동),6923.0,맘스터치,20100000000000.0,I,2018-08-31 23:59,한식,194909.2496,445592.4636,한식,동작구 노량진동맘스터치,33821442,트리플딥치즈싸이버거,변동
7,영업,02 8265248,56.68,156030,서울특별시 동작구 상도동 502-11 ,서울특별시 동작구 상도로61길 21 (상도동),7027.0,고기스토리,20200000000000.0,U,2021-09-29 2:40,한식,196046.2104,443658.1123,한식,동작구 상도동고기스토리,32848774,철판제육,"7,000원"
8,영업,,28.75,156857,서울특별시 동작구 흑석동 54-142번지 제1호 1층 ,서울특별시 동작구 서달로14나길 27 (흑석동 제1호 1층),6980.0,흑수돈(흑석동수제돈까스),20100000000000.0,I,2018-08-31 23:59,한식,196673.4987,444970.7665,한식,동작구 흑석동흑수돈(흑석동수제돈까스),33492432,돈까스,"7,500원"
9,영업,02 5960500,103.0,156816,서울특별시 동작구 사당동 139-84번지 ,서울특별시 동작구 동작대로27가길 5 지하1층 (사당동),7008.0,브로이제트3호점,20200000000000.0,U,2020-05-30 2:40,한식,198274.6926,442795.5984,한식,동작구 사당동브로이제트3호점,1096237126,기네스,"5,900원"
10,영업,,42.33,156813,서울특별시 동작구 노량진동 330 삼익주상복합아파트 ,서울특별시 동작구 만양로 84 지하층 25호 (노량진동 삼익주상복합아파트),6914.0,김여사도시락,20200000000000.0,U,2021-07-25 2:40,한식,195079.2655,445413.2884,한식,동작구 노량진동김여사도시락,1838789561,▶나에게주는 선물세트,변동
11,영업,02 8123818,133.46,156801,서울특별시 동작구 노량진동 124-4번지 ,서울특별시 동작구 만양로14길 29 지상1지하1층 (노량진동),6913.0,식객,20200000000000.0,U,2019-10-20 2:40,한식,195126.6498,445547.5521,한식,동작구 노량진동식객,20937772,일반,"5,500원"
12,영업,,118.3,156811,서울특별시 동작구 대방동 407-10번지 ,서울특별시 동작구 여의대방로24길 7 (대방동),7055.0,짬뽕상회,20200000000000.0,I,2018-08-31 23:59,한식,192919.7056,444025.4181,한식,동작구 대방동짬뽕상회,35111665,상회짜장,"6,000원"
13,영업,,30.0,156815,서울특별시 동작구 사당동 91-184 ,서울특별시 동작구 동작대로29나길 30 1층 (사당동),6997.0,처갓집양념치킨 사당2점,20200000000000.0,U,2021-06-20 2:40,한식,198232.211,443021.2021,한식,동작구 사당동처갓집양념치킨 사당2점,1722893058,슈프림양념치킨,"21,000원"
14,영업,205252917,38.47,156827,서울특별시 동작구 사당동 1041-34 ,서울특별시 동작구 동작대로3길 17 (사당동),7025.0,산수정,20200000000000.0,U,2020-12-06 2:40,한식,198195.2642,441789.3879,한식,동작구 사당동산수정,20888343,돼지갈비,"12,000원"
15,영업,02 8178637,24.8,156861,서울특별시 동작구 흑석동 190-3 ,서울특별시 동작구 흑석로 95-1 (흑석동),6910.0,홍천닭갈비,20200000000000.0,U,2021-10-09 2:40,한식,196413.6472,445044.2013,한식,동작구 흑석동홍천닭갈비,18714929,닭갈비,"11,000원"
16,영업,,78.97,156801,서울특별시 동작구 노량진동 148-55 ,서울특별시 동작구 만양로18길 21 1층 (노량진동),6913.0,샤브로21,20200000000000.0,I,2022-01-06 0:22,한식,195117.4563,445657.4146,한식,동작구 노량진동샤브로21,1192685856,샤브로21 샤브샤브,"6,500원"
17,영업,02 8246685,85.64,156801,서울특별시 동작구 노량진동 120-3 ,서울특별시 동작구 만양로 83 (노량진동),6923.0,레커훈스,20200000000000.0,U,2021-12-07 2:40,한식,195014.629,445416.7845,한식,동작구 노량진동레커훈스,18692799,크리스피(후라이드) 한마리,"8,500원"
18,영업,02 8365991,34.04,156849,서울특별시 동작구 신대방동 395-68 ,서울특별시 동작구 보라매로5가길 24 (신대방동),7071.0,대원,20200000000000.0,U,2020-12-16 2:40,한식,193204.7822,443168.5136,한식,동작구 신대방동대원,20918718,-,-
19,영업,,58.18,156816,서울특별시 동작구 사당동 133-13,서울특별시 동작구 동작대로29길 7 1층 (사당동),7008.0,홍두깨칼국수,20200000000000.0,U,2021-12-05 23:06,한식,198307.1196,442861.5331,,동작구 사당동홍두깨칼국수,1271679732,손칼국수,"3,000원"
20,영업,234722202,235.54,156827,서울특별시 동작구 사당동 1041-7번지 ,서울특별시 동작구 남부순환로271길 20 (사당동),7025.0,가마솥손두부,20200000000000.0,I,2018-08-31 23:59,한식,198178.3729,441735.1308,한식,동작구 사당동가마솥손두부,11888078,삼합,"55,000원"
21,영업,02 8252622,75.92,156843,서울특별시 동작구 상도동 355-7 ,서울특별시 동작구 상도로 124 (상도동),6959.0,광명,20200000000000.0,U,2022-03-12 2:40,한식,194089.7494,444361.4846,한식,동작구 상도동광명,37943779,광어 소,"18,000원"
22,영업,8128827,132.66,156808,서울특별시 동작구 대방동 341-1 ,서울특별시 동작구 여의대방로54길 5 (대방동),6938.0,쑈쌩크,20200000000000.0,U,2020-11-13 2:40,한식,193381.6368,445532.4394,한식,동작구 대방동쑈쌩크,1979867258,-,-
23,영업,,220.4,156755,서울특별시 동작구 흑석동 224-1 중앙대학교병원 ,서울특별시 동작구 흑석로 102 중앙대학교병원 지하1층 B106호 (흑석동),6973.0,한쿡,20200000000000.0,I,2021-04-16 0:22,한식,196469.8398,444981.9379,한식,동작구 흑석동한쿡,1174629728,순대국,"8,000원"
24,영업,,18.0,156840,서울특별시 동작구 상도동 194-14 ,서울특별시 동작구 상도로22길 44 1층 (상도동),6959.0,호프왕노가리,20200000000000.0,U,2020-11-13 2:40,한식,194374.479,444364.6037,한식,동작구 상도동호프왕노가리,242766643,-,-
25,영업,,25.0,156815,서울특별시 동작구 사당동 91-175 ,서울특별시 동작구 동작대로29나길 14 1층 (사당동),6997.0,사계식당,20200000000000.0,U,2021-10-22 2:40,한식,198219.7812,442943.7942,한식,동작구 사당동사계식당,1562451118,오리지널 부대찌개,"9,900원"
26,영업,222547975,139.74,156800,서울특별시 동작구 노량진동 13-6 ,서울특별시 동작구 노들로 674 지상2층 1호 (노량진동),6900.0,청하식당,20200000000000.0,U,2021-01-08 2:40,한식,194346.1567,445823.5009,한식,동작구 노량진동청하식당,37769702,매운탕(소),"12,000원"
27,영업,,50.0,156090,서울특별시 동작구 사당동 1131 ,서울특별시 동작구 사당로13길 31 두산위브  지하1층 제지1-1 1-2호 (사당동),7004.0,푸라닭 사당1호점,20200000000000.0,U,2020-07-29 2:40,한식,197390.1432,442578.0473,한식,동작구 사당동푸라닭 사당1호점,1376020558,바질페스타,"19,900원"
28,영업,02825 5952,61.64,156030,서울특별시 동작구 상도동 502-6번지 동운빌딩 ,서울특별시 동작구 사당로 14 1층 (상도동),7027.0,숭실대중문 한솥도시락,20200000000000.0,I,2018-08-31 23:59,한식,196034.3082,443674.6169,한식,동작구 상도동숭실대중문 한솥도시락,1258501482,동백,"5,800원"
29,영업,070 88645528,71.04,156807,서울특별시 동작구 대방동 17-20 지원빌딩 ,서울특별시 동작구 등용로 88 지원빌딩 1층 (대방동),6933.0,도투머리,20200000000000.0,I,2020-11-05 0:23,한식,193947.7004,445210.6456,한식,동작구 대방동도투머리,1339476382,*소식 참고해 주세요 필수!!*,1원
30,영업,02 8159795,44.17,156801,서울특별시 동작구 노량진동 123-10 ,서울특별시 동작구 만양로14길 4 (노량진동),6914.0,꿀꾸랄라,20200000000000.0,U,2021-11-18 2:40,한식,195045.6957,445452.0522,한식,동작구 노량진동꿀꾸랄라,30808641,삼겹살(180g),"6,000원"
31,영업,,59.4,156090,서울특별시 동작구 사당동 254-11 ,서울특별시 동작구 사당로14가길 8 (사당동),7010.0,생오리 회전 숯불구이,20200000000000.0,U,2021-12-14 2:40,한식,197441.2871,442433.1672,한식,동작구 사당동생오리 회전 숯불구이,20734849,훈제구이\(한마리),"46,000원"
32,영업,02  522 2040,94.75,156816,서울특별시 동작구 사당동 147-29번지 1층 126호127호 ,서울특별시 동작구 사당로 300 (사당동 1층 126호127호),7013.0,이수한우명가,20100000000000.0,I,2018-08-31 23:59,한식,198202.4725,442471.241,한식,동작구 사당동이수한우명가,33040151,"한우투뿔 등심,업진,부채 540g","98,000원"
33,영업,,26.66,156030,서울특별시 동작구 상도동 506-1 ,서울특별시 동작구 사당로 36 (상도동),7027.0,비비엣,20200000000000.0,U,2021-04-04 2:40,한식,196245.0924,443634.8563,한식,동작구 상도동비비엣,1173236303,쌀국수,"7,500원"
34,영업,02 8478367,34.8,156855,서울특별시 동작구 신대방동 708번지 해태보라매타워 ,서울특별시 동작구 보라매로3길 29 지하층 52535657호 (신대방동 해태보라매타워),7071.0,소반,20200000000000.0,U,2019-08-23 2:40,한식,193279.5991,443230.4182,한식,동작구 신대방동소반,1629252754,소반 고기국수,"7,000원"
35,영업,02 8257773,61.65,156860,서울특별시 동작구 흑석동 102-130번지 ,서울특별시 동작구 서달로 165-1 2층 (흑석동),6972.0,서달양조장,20200000000000.0,I,2019-01-18 2:20,한식,196629.0601,445093.6749,한식,동작구 흑석동서달양조장,1174982785,어묵탕,"15,000원"
36,영업,,61.45,156060,서울특별시 동작구 본동 126-44번지 ,서울특별시 동작구 노량진로 250-1 (본동),6907.0,정호식당,20100000000000.0,I,2018-08-31 23:59,한식,195874.5949,445510.9572,한식,동작구 본동정호식당,21817802,순대국,"7,000원"
37,영업,,39.9,156031,서울특별시 동작구 상도1동 268-2 1층 ,서울특별시 동작구 상도로47길 3 (상도1동 1층),6970.0,정통왕족발,20200000000000.0,U,2021-04-02 2:40,한식,195614.1295,444168.3651,한식,동작구 상도1동정통왕족발,36504877,-,-
38,영업,,42.33,156813,서울특별시 동작구 노량진동 330번지 ,서울특별시 동작구 만양로 84 제지하1층 24호 (노량진동),6914.0,양철북,20200000000000.0,U,2019-06-07 2:40,한식,195079.2655,445413.2884,한식,동작구 노량진동양철북,1059500292,-,-
39,영업,02 8169824,61.18,156801,서울특별시 동작구 노량진동 119-64 ,서울특별시 동작구 노량진로16길 31 (노량진동),6922.0,장충족발,20200000000000.0,U,2020-12-17 2:40,한식,194989.9067,445555.2971,한식,동작구 노량진동장충족발,1813132873,족발 2인,"29,000원"
40,영업,,66.0,156030,서울특별시 동작구 상도동 504-3번지 ,서울특별시 동작구 상도로61길 40 지상1층 (상도동),7027.0,큰맘할매순대국,20200000000000.0,I,2018-08-31 23:59,한식,196135.1217,443610.5863,한식,동작구 상도동큰맘할매순대국,37373882,순대국,변동
41,영업,234789292,82.0,156816,서울특별시 동작구 사당동 139-27 ,서울특별시 동작구 동작대로27다길 8 1층 (사당동),7008.0,미고삼,20200000000000.0,U,2021-03-04 2:40,한식,198192.2944,442781.6882,한식,동작구 사당동미고삼,1866362071,한돈 1등급 생삼겹살,"12,900원"
