개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
3190000,3190000-101-0994-06524,20010618,,3,폐업,2,폐업,20061227,,,,208252996,18.72,156847,서울특별시 동작구 신대방동 355-8번지 ,,,종로식당,2.00604E+13,I,2018-08-31 23:59,한식,193489.2516,444104.2501,한식,0,0,기타,기타,상수도전용,,,,,,,,,N,18.72,,,
3190000,3190000-101-1904-02338,19040808,,3,폐업,2,폐업,19951031,,,,02 1768800,50.01,156827,서울특별시 동작구 사당동 1046번지 ,,,유정,2.00201E+13,I,2018-08-31 23:59,정종/대포집/소주방,,,정종/대포집/소주방,0,3,주택가주변,지도,상수도전용,,,,,,,,,N,50.01,,,
3190000,3190000-101-1904-03433,19040808,,3,폐업,2,폐업,19930709,,,,204693489,23.8,156839,서울특별시 동작구 상도동 346-8번지 ,,,상도치킨센타,2.00202E+13,I,2018-08-31 23:59,분식,193945.385,444230.8596,분식,0,0,기타,기타,상수도전용,,,,,,,,,N,23.8,,,
3190000,3190000-101-1904-04695,19040808,,3,폐업,2,폐업,19951031,,,,02 4693489,82.67,156050,서울특별시 동작구 노량진동 0번지 ,,,.,2.00201E+13,I,2018-08-31 23:59,경양식,,,경양식,1,3,기타,지도,상수도전용,,,,,,,,,N,82.67,,,
3190000,3190000-101-1923-00384,19230106,,3,폐업,2,폐업,19980101,,,,02 8252713,65.57,156830,서울특별시 동작구 상도1동 537-0번지 ,,,상도마루,1.99901E+13,I,2018-08-31 23:59,한식,195643.6762,444939.681,한식,1,2,주택가주변,기타,상수도전용,,,,,,,,,N,65.57,,,
3190000,3190000-101-1923-03966,19230326,,3,폐업,2,폐업,19980226,,,,02 5961148,31.85,156824,서울특별시 동작구 사당동 708-401번지 ,,,아담,2.00109E+13,I,2018-08-31 23:59,분식,197657.2008,442368.3028,분식,0,0,주택가주변,기타,상수도전용,,,,,,,,,N,31.85,,,
3190000,3190000-101-1924-03173,19241008,,3,폐업,2,폐업,19951031,,,,02 8128843,28.73,156839,서울특별시 동작구 상도동 324-2번지 ,,,명동의집,2.00202E+13,I,2018-08-31 23:59,분식,193790.4309,444153.8726,분식,0,1,주택가주변,지도,상수도전용,,,,,,,,,N,28.73,,,
3190000,3190000-101-1925-06477,19250323,,3,폐업,2,폐업,19951123,,,,234721797,22.33,156090,서울특별시 동작구 사당동 산 249-26번지 ,,,춘천닭갈비,2.00109E+13,I,2018-08-31 23:59,한식,,,한식,0,0,주택가주변,기타,상수도전용,,,,,,,,,N,22.33,,,
3190000,3190000-101-1929-03824,19290909,,3,폐업,2,폐업,20110323,,,,02 8161025,77.07,156801,서울특별시 동작구 노량진동 119-74번지 ,,,부킹,2.00607E+13,I,2018-08-31 23:59,정종/대포집/소주방,194994.6936,445476.3899,정종/대포집/소주방,3,1,주택가주변,갑,상수도전용,,,,,,,,,N,77.07,,,
3190000,3190000-101-1929-05327,19290811,,3,폐업,2,폐업,19951031,,,,02 8122994,78.6,156857,서울특별시 동작구 흑석동 28번지 ,,,아람,2.00201E+13,I,2018-08-31 23:59,중국식,197240.7721,444965.447,중국식,2,1,아파트지역,지도,상수도전용,,,,,,,,,N,78.6,,,
3190000,3190000-101-1934-03510,19340816,,3,폐업,2,폐업,19970326,,,,02 6135421,28.96,156030,서울특별시 동작구 상도동 산 119-17번지 ,,,하나로치킨,2.00109E+13,I,2018-08-31 23:59,분식,,,분식,0,0,주택가주변,기타,상수도전용,,,,,,,,,N,28.96,,,
3190000,3190000-101-1965-00551,19650506,,3,폐업,2,폐업,20070112,,,,02 8159108,70.88,156060,서울특별시 동작구 본동 162-12번지 ,,,남도식당,2.00102E+13,I,2018-08-31 23:59,한식,,,한식,1,1,주택가주변,기타,상수도전용,,,,,,,,,N,70.88,,,
3190000,3190000-101-1967-00358,19671010,,1,영업/정상,1,영업,,,,,02  812 9238,163.96,156861,서울특별시 동작구 흑석동 223-1 ,서울특별시 동작구 흑석로 94 (흑석동),6973,케이에프씨 중앙대점,2.02112E+13,U,2021-12-14 2:40,기타,196392.4682,445005.6853,기타,0,1,주택가주변,을,상수도전용,0,0,0,0,0,,0,0,Y,163.96,,,
3190000,3190000-101-1967-05524,19671023,,3,폐업,2,폐업,19920528,,,,208150675,109.76,156030,서울특별시 동작구 상도동 770-1번지 ,,,덕명춘,2.00201E+13,I,2018-08-31 23:59,중국식,,,중국식,2,1,주택가주변,지도,상수도전용,,,,,,,,,N,109.76,,,
3190000,3190000-101-1968-05276,19681026,,3,폐업,2,폐업,19921230,,,,208188189,28.94,156861,서울특별시 동작구 흑석동 182-7번지 ,,,라일구,2.00201E+13,I,2018-08-31 23:59,경양식,196523.5851,445119.2649,경양식,0,1,주택가주변,지도,상수도전용,,,,,,,,,N,28.94,,,
3190000,3190000-101-1968-05416,19680110,,3,폐업,2,폐업,20120831,,,,02 8154285,26.5,156857,서울특별시 동작구 흑석동 50-12번지 ,서울특별시 동작구 서달로14길 30 (흑석동),6979,덕성원,2.00908E+13,I,2018-08-31 23:59,중국식,196797.2839,445033.8177,중국식,3,1,주택가주변,을,상수도전용,,,,,,,,,N,26.5,,,
3190000,3190000-101-1969-02143,19690305,,3,폐업,2,폐업,19951031,,,,02   00000,45.44,156803,서울특별시 동작구 노량진동 230-13번지 ,,,한일,2.00109E+13,I,2018-08-31 23:59,전통찻집,194643.2448,445064.1505,전통찻집,0,2,주택가주변,기타,상수도전용,,,,,,,,,N,45.44,,,
3190000,3190000-101-1970-02109,19700130,,3,폐업,2,폐업,19951031,,,,02 5912452,64.1,156820,서울특별시 동작구 사당동 323-12번지 ,,,중앙,2.00109E+13,I,2018-08-31 23:59,전통찻집,197747.5906,442365.1946,전통찻집,0,3,주택가주변,기타,상수도전용,,,,,,,,,N,64.1,,,
3190000,3190000-101-1970-02144,19701018,,3,폐업,2,폐업,19940504,,,,02 8155225,62.48,156803,서울특별시 동작구 노량진동 240-27번지 ,,,아씨,2.00109E+13,I,2018-08-31 23:59,전통찻집,194625.1229,445440.6507,전통찻집,2,2,주택가주변,기타,상수도전용,,,,,,,,,N,62.48,,,
3190000,3190000-101-1970-02174,19701224,,3,폐업,2,폐업,19951031,,,,02 8158989,74.88,156800,서울특별시 동작구 노량진동 45-13번지 ,,,초원,2.00109E+13,I,2018-08-31 23:59,전통찻집,194631.0844,445615.8203,전통찻집,0,3,주택가주변,기타,상수도전용,,,,,,,,,N,74.88,,,
3190000,3190000-101-1971-00268,19710716,,3,폐업,2,폐업,19991116,,,,02 8145032,115.76,156832,서울특별시 동작구 상도동 363-142번지 ,,,진천집,1.99911E+13,I,2018-08-31 23:59,한식,194510.0284,444765.8828,한식,1,1,주택가주변,을,상수도전용,,,,,,,,,N,115.76,,,
3190000,3190000-101-1971-00566,19940118,,3,폐업,2,폐업,20000320,,,,02 8157750,39.04,156861,서울특별시 동작구 흑석동 185-4번지 ,,,동남,2.00201E+13,I,2018-08-31 23:59,한식,,,한식,1,1,주택가주변,지도,상수도전용,,,,,,,,,N,39.04,,,
3190000,3190000-101-1971-00730,19711111,,3,폐업,2,폐업,19910610,,,,208156268,212.62,156800,서울특별시 동작구 노량진동 94-1번지 ,,,연희정,2.00201E+13,I,2018-08-31 23:59,한식,,,한식,1,1,유흥업소밀집지역,지도,상수도전용,,,,,,,,,N,212.62,,,
3190000,3190000-101-1971-04250,19710730,,3,폐업,2,폐업,19920804,,,,208139292,71.41,156861,서울특별시 동작구 흑석동 223-1번지 ,,,에이원,2.00201E+13,I,2018-08-31 23:59,분식,196392.4682,445005.6853,분식,2,1,주택가주변,지도,상수도전용,,,,,,,,,N,71.41,,,
3190000,3190000-101-1971-04430,19710216,,3,폐업,2,폐업,19891215,,,,208153960,24.5,156800,서울특별시 동작구 노량진동 45번지 ,,,미지미,2.00201E+13,I,2018-08-31 23:59,일식,,,일식,1,0,주택가주변,지도,상수도전용,,,,,,,,,N,24.5,,,
3190000,3190000-101-1971-05472,19710709,,3,폐업,2,폐업,19990402,,,,02 8155873,74.34,156800,서울특별시 동작구 노량진동 28-8번지 ,,,왕자관,1.99904E+13,I,2018-08-31 23:59,중국식,194257.8957,445637.8281,중국식,2,1,주택가주변,지도,상수도전용,,,,,,,,,N,74.34,,,
3190000,3190000-101-1971-05536,19711117,,3,폐업,2,폐업,19951031,,,,02 5324956,117.41,156816,서울특별시 동작구 사당동 134-7번지 ,,,장강반점,2.00201E+13,I,2018-08-31 23:59,중국식,,,중국식,0,0,주택가주변,지도,상수도전용,,,,,,,,,N,117.41,,,
3190000,3190000-101-1972-00706,19721130,,3,폐업,2,폐업,19951031,,,,02 8133886,3.03,156861,서울특별시 동작구 흑석동 223-58번지 ,,,풍미식당,2.00201E+13,I,2018-08-31 23:59,한식,,,한식,0,2,주택가주변,지도,상수도전용,,,,,,,,,N,3.03,,,
3190000,3190000-101-1972-02149,19720303,,3,폐업,2,폐업,19940418,,,,02 8151769,34.1,156832,서울특별시 동작구 상도동 363-164번지 ,,,강남다방,2.00109E+13,I,2018-08-31 23:59,전통찻집,194443.2098,444754.2362,전통찻집,1,2,주택가주변,기타,상수도전용,,,,,,,,,N,34.1,,,
3190000,3190000-101-1972-05412,19720414,,1,영업/정상,1,영업,,,,,02 8130572,321.03,156861,서울특별시 동작구 흑석동 184-18 ,서울특별시 동작구 흑석로 105-1 (흑석동),6910,안동장,2.0201E+13,U,2020-10-09 2:40,중국식,196476.2995,445115.4616,중국식,3,1,주택가주변,갑,상수도전용,,,,,,,,,Y,321.03,,,
3190000,3190000-101-1972-05426,19720303,,3,폐업,2,폐업,19960729,,,,02 8154590,52.23,156806,서울특별시 동작구 노량진동 307-15번지 ,,,삼성각,2.00109E+13,I,2018-08-31 23:59,중국식,194611.826,445119.3094,중국식,1,1,주택가주변,지도,상수도전용,,,,,,,,,N,52.23,,,
3190000,3190000-101-1972-05489,19720303,,3,폐업,2,폐업,19951031,,,,02 8155123,36.08,156831,서울특별시 동작구 상도동 32-13번지 ,,,북경장,2.00201E+13,I,2018-08-31 23:59,중국식,195146.8827,444715.7235,중국식,1,1,주택가주변,지도,상수도전용,,,,,,,,,N,36.08,,,
3190000,3190000-101-1972-05553,19720303,,3,폐업,2,폐업,19891101,,,,208155552,86.04,156801,서울특별시 동작구 노량진동 155-1번지 ,,,백마회관,2.00201E+13,I,2018-08-31 23:59,중국식,,,중국식,1,2,유흥업소밀집지역,지도,상수도전용,,,,,,,,,N,86.04,,,
3190000,3190000-101-1973-00177,19730322,,3,폐업,2,폐업,19970206,,,,02 8134377,25.89,156832,서울특별시 동작구 상도동 365-1번지 ,,,다도회센타,2.00109E+13,I,2018-08-31 23:59,한식,194477.9257,444726.1571,한식,1,1,주택가주변,지도,상수도전용,,,,,,,,,N,25.89,,,
