,상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,검색명,업소URL,대표메뉴,가격정보,메뉴라벨링,외식비
0,영업,02 8348922,105.0,156849,서울특별시 동작구 신대방동 395-66 117호 118호 ,서울특별시 동작구 보라매로5길 43 (신대방동117호 118호),,궁중삼계탕,20200000000000.0,U,2020-12-03 2:40,한식,193153.177,443251.1214,한식,동작구 신대방동궁중삼계탕,18744647,한방삼계탕,"16,000원",삼계탕,15385
1,영업,02 8213275,38.23,156030,서울특별시 동작구 상도동 535 상도2차두산위브트레지움아파트 ,서울특별시 동작구 상도로30길 40 1층 120호 (상도동 상도2차두산위브트레지움아파트),6964.0,김가네김밥,20200000000000.0,U,2020-10-24 2:40,한식,194870.3844,444631.1127,한식,동작구 상도동김가네김밥,1712090053,김가네김밥,변동,김밥,2969
2,영업,8133838,23.2,156843,서울특별시 동작구 상도동 250-16 ,서울특별시 동작구 성대로5길 2 (상도동),6960.0,김밥이맛있는집,20200000000000.0,U,2021-12-09 2:40,김밥(도시락),194027.1309,444137.2806,김밥(도시락),동작구 상도동김밥이맛있는집,18696397,소문난김밥,"2,000원",김밥,2969
3,영업,02 8159795,44.17,156801,서울특별시 동작구 노량진동 123-10 ,서울특별시 동작구 만양로14길 4 (노량진동),6914.0,꿀꾸랄라,20200000000000.0,U,2021-11-18 2:40,한식,195045.6957,445452.0522,한식,동작구 노량진동꿀꾸랄라,30808641,삼겹살(180g),"6,000원",삼겹살,18056
4,영업,02523 5422,56.0,156879,서울특별시 동작구 사당동 223-6번지 ,서울특별시 동작구 사당로16가길 90 1층 (사당동),7009.0,도담,20200000000000.0,I,2018-08-31 23:59,한식,197199.0875,442518.7439,한식,동작구 사당동도담,1527425392,회냉면,"10,000원",냉면,10423
5,영업,234789292,82.0,156816,서울특별시 동작구 사당동 139-27 ,서울특별시 동작구 동작대로27다길 8 1층 (사당동),7008.0,미고삼,20200000000000.0,U,2021-03-04 2:40,한식,198192.2944,442781.6882,한식,동작구 사당동미고삼,1866362071,한돈 1등급 생삼겹살,"12,900원",삼겹살,18056
6,영업,,20.0,156879,서울특별시 동작구 사당동 224-52번지 ,서울특별시 동작구 사당로16가길 91 1층 (사당동),7009.0,미트 온라인 축산직판,20200000000000.0,I,2020-05-13 0:23,한식,197176.3831,442515.6631,한식,동작구 사당동미트 온라인 축산직판,1558146710,삼겹살(100g),"1,420원",삼겹살,18056
7,영업,,33.0,156816,서울특별시 동작구 사당동 141-45 ,서울특별시 동작구 사당로29가길 28 1층 (사당동),7008.0,배달돼지 방배사당점,20200000000000.0,I,2021-01-13 0:23,한식,198129.3954,442675.6333,한식,동작구 사당동배달돼지 방배사당점,1266186168,삼겹살 오리지날 set,"19,900원",삼겹살,18056
8,영업,02 8156555,16.01,156804,서울특별시 동작구 노량진동 261-10 ,서울특별시 동작구 노량진로8길 28 (노량진동),6930.0,백가네해물칼국수,20200000000000.0,U,2021-12-14 2:40,한식,194347.0685,445597.5115,한식,동작구 노량진동백가네해물칼국수,18752808,해물칼국수,"8,000원",칼국수,8385
9,영업,02  811 7754,58.8,156861,서울특별시 동작구 흑석동 223-18,서울특별시 동작구 흑석로 88 2층 (흑석동),6973.0,백채김치찌개 중앙대점,20200000000000.0,U,2021-12-04 0:02,한식,196340.6225,444982.102,,동작구 흑석동백채김치찌개 중앙대점,1321242429,백채김치찌개 1인분,"8,000원",김치찌개백반,7423
10,영업,,64.8,156801,서울특별시 동작구 노량진동 120-6번지 문화독서실 ,서울특별시 동작구 만양로 81 1층 (노량진동),6923.0,본죽앤비빔밥 노량진점,20200000000000.0,I,2019-05-03 2:20,한식,195018.5629,445402.3311,한식,동작구 노량진동본죽앤비빔밥 노량진점,18751710,해물 약고추장비빔밥,"10,000원",비빔밥,9654
11,영업,02  822 5888,72.6,156808,서울특별시 동작구 대방동 344-5,서울특별시 동작구 알마타길 13-5 1층 (대방동),6939.0,북촌손만두 대방역점,20200000000000.0,U,2021-12-08 0:03,한식,193437.8094,445464.5297,,동작구 대방동북촌손만두 대방역점,1468687091,피냉면(보통/매운맛),"7,500원",냉면,10423
12,영업,,117.5,156831,서울특별시 동작구 상도동 26-11 1층 ,서울특별시 동작구 상도로 219 (상도동 1층),6921.0,상도동함흥면옥,20200000000000.0,U,2020-11-20 2:40,한식,194893.986,444799.6878,한식,동작구 상도동상도동함흥면옥,1574222088,회냉면,"11,000원",냉면,10423
13,영업,,330.0,156857,서울특별시 동작구 흑석동 26-2 블루스톤스포츠 ,서울특별시 동작구 현충로 131 블루스톤스포츠 지하2층 (흑석동),6904.0,숙공,20200000000000.0,U,2020-12-16 2:40,한식,197089.736,444960.9078,한식,동작구 흑석동숙공,1287589412,통삼겹살(150g/국내산),"15,000원",삼겹살,18056
14,영업,02 8152381,29.81,156832,서울특별시 동작구 상도동 369-6 ,서울특별시 동작구 장승배기로10길 9 (상도동),6963.0,순천식당,20200000000000.0,U,2020-12-12 2:40,한식,194604.5176,444709.6999,한식,동작구 상도동순천식당,310632672,삼겹살,"13,000원",삼겹살,18056
15,영업,,27.53,156832,서울특별시 동작구 상도동 360-67 ,서울특별시 동작구 상도로15길 99 1층 (상도동),6949.0,어매순대국,20200000000000.0,U,2020-11-13 2:40,한식,194290.6747,444702.4123,한식,동작구 상도동어매순대국,20933938,냉면,"6,000원",냉면,10423
16,영업,,34.31,156815,서울특별시 동작구 사당동 84-7 ,서울특별시 동작구 동작대로 151-8 1층 (사당동),6996.0,에스제이 에프앤비(SJ F&B),20200000000000.0,I,2022-03-17 0:22,한식,198328.8495,443096.0539,한식,동작구 사당동에스제이 에프앤비(SJ F&B),1080088531,고기고기 김치찌개 1인분,"8,500원",김치찌개백반,7423
