,영업상태명,상세영업상태코드,상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,업소id,별점,대표메뉴,가격정보
0,영업/정상,1,영업,,45.0,120812.0,서울특별시 서대문구 북가좌동 279-12 1층 ,서울특별시 서대문구 응암로 116 1층 (북가좌동),3667.0,왕노가리,20201100000000.0,U,2020-11-08 2:40,한식,192308.8448,453379.4394,한식,1887456010,4.39,손질먹태구이,"16,000원"
1,영업/정상,1,영업,,37.0,120814.0,서울특별시 서대문구 북가좌동 311-22,서울특별시 서대문구 거북골로20길 53-28 1층 (북가좌동),3679.0,착한쭝식,20220600000000.0,U,2021-12-05 22:03,한식,191973.7532,453177.2295,,1456735147,-,찹쌀탕수육 소,"8,900원"
2,영업/정상,1,영업,02  306 1903,51.15,120812.0,서울특별시 서대문구 북가좌동 291-4번지 ,서울특별시 서대문구 증가로 215 (북가좌동),3682.0,거북골숯불갈비,20110800000000.0,I,2018-08-31 23:59,한식,192405.9973,453187.5254,한식,13347695,4.44,수제돼지갈비 300g,"15,000원"
3,영업/정상,1,영업,02  373 7278,40.0,120813.0,서울특별시 서대문구 북가좌동 304-1번지 1층 일부 ,서울특별시 서대문구 거북골로18길 8 1층 (북가좌동),3691.0,프레즐메이커,20180800000000.0,I,2018-08-31 23:59,기타,192031.6656,452836.2456,기타,35495367,4.53,아메리카노(기본 그란데싸이즈),"3,000원"
4,영업/정상,1,영업,,32.8,120816.0,서울특별시 서대문구 북가좌동 351-2번지 1층 ,서울특별시 서대문구 응암로 146 1층 (북가좌동),3667.0,홍주식당,20180600000000.0,I,2018-08-31 23:59,한식,192456.3669,453652.4601,한식,1667981727,4.42,-,-
5,영업/정상,1,영업,,20.46,120817.0,서울특별시 서대문구 북가좌동 431 DMC한양 ,서울특별시 서대문구 응암로 28 지층 17호 (북가좌동 DMC한양),3709.0,한양식당,20201200000000.0,I,2021-01-01 0:23,한식,191900.3459,452626.2213,한식,21294123,4.34,왕족발 대,"35,000원"
6,영업/정상,1,영업,02  305 3377,432.3,120130.0,서울특별시 서대문구 북가좌동 487 성공타워1 ,서울특별시 서대문구 수색로 56 606~607호 (북가좌동),3709.0,(주)일야꽃마름가좌역점,20201000000000.0,U,2020-10-24 2:40,뷔페식,192209.3236,452067.0394,뷔페식,-,-,-,-
7,영업/정상,1,영업,,30.96,120810.0,서울특별시 서대문구 북가좌동 3-38 바움샤인빌 ,서울특별시 서대문구 증가로20길 80 1층 101호 (북가좌동 바움샤인빌),3671.0,리치(Rich) 김밥,20210400000000.0,U,2021-04-07 2:40,한식,192785.5347,453358.34,한식,1429357565,4.63,리치김밥,"3,000원"
8,영업/정상,1,영업,,16.0,120766.0,서울특별시 서대문구 북가좌동 449 북가좌삼호아파트,서울특별시 서대문구 거북골로14길 5 북가좌삼호아파트 상가동 지1층 B03 04호 (북가좌동),3690.0,커피주는 냉면집,20220500000000.0,I,2021-12-04 23:05,기타,192260.2999,452692.5088,,-,-,-,-
9,영업/정상,1,영업,02  309 6622,66.11,120812.0,서울특별시 서대문구 북가좌동 292-17번지 ,서울특별시 서대문구 증가로25길 4 (북가좌동),3682.0,오복영양탕,20100200000000.0,I,2018-08-31 23:59,한식,192330.2103,453264.2378,한식,18270260,4.28,수육,"20,000원"
10,영업/정상,1,영업,,43.21,120812.0,서울특별시 서대문구 북가좌동 290-11 ,서울특별시 서대문구 증가로21길 20-8 1층 (북가좌동),3685.0,아울베리(OWLBERRY),20220100000000.0,U,2022-01-09 2:40,기타,192371.3878,453136.9718,기타,1709350725,-,-,-
11,영업/정상,1,영업,02  308 1552,93.25,120814.0,서울특별시 서대문구 북가좌동 326-5번지 1층 ,서울특별시 서대문구 응암로 91 1층 (북가좌동),3678.0,당진아구찜동태찜탕,20180100000000.0,I,2018-08-31 23:59,한식,192159.3326,453218.1391,한식,37130262,4.3,순살아구찜 [소],"35,000원"
12,영업/정상,1,영업,02 3764300,29.76,120130.0,서울특별시 서대문구 북가좌동 484 성공타워2,서울특별시 서대문구 수색로6길 17-14 성공타워2 1층 109호 (북가좌동),3791.0,육회왕자 연어공주,20220700000000.0,I,2021-12-06 23:05,한식,192178.6342,452110.7227,,1651300381,-,-,-
