,상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,검색명,업소URL
0,영업,,69.34,156800,서울특별시 동작구 노량진동 57-1 메가스터디타워 ,서울특별시 동작구 노량진로 140 메가스터디타워 상가동층 115호 (노량진동),6922.0,골든볼9 몬스터(지훈식당),20200000000000.0,U,2021-04-29 2:40,한식,194772.9754,445623.0802,한식,동작구 노량진동골든볼9 몬스터(지훈식당),-
1,영업,,26.0,156871,서울특별시 동작구 상도1동 804-1 ,서울특별시 동작구 상도로38길 3-20 1층 102호 (상도1동),7032.0,네모푸드 상도점,20200000000000.0,I,2021-02-05 0:23,한식,195365.9867,444373.1854,한식,동작구 상도1동네모푸드 상도점,-
2,영업,,64.74,156849,서울특별시 동작구 신대방동 395-70번지 전문건설회관 지하1층 ,서울특별시 동작구 보라매로5길 15 (신대방동전문건설회관 지하1층),,늘,20100000000000.0,I,2018-08-31 23:59,한식,193232.0279,443314.0572,한식,동작구 신대방동늘,1380778265
3,영업,,30.0,156843,서울특별시 동작구 상도동 355-8 ,서울특별시 동작구 상도로 122 1층 (상도동),6959.0,필드키친,20200000000000.0,I,2021-12-08 0:22,한식,194077.5201,444347.4355,한식,동작구 상도동필드키친,-
4,영업,02 8156555,16.01,156804,서울특별시 동작구 노량진동 261-10 ,서울특별시 동작구 노량진로8길 28 (노량진동),6930.0,백가네해물칼국수,20200000000000.0,U,2021-12-14 2:40,한식,194347.0685,445597.5115,한식,동작구 노량진동백가네해물칼국수,18752808
5,영업,260838247,47.95,156861,서울특별시 동작구 흑석동 194-13번지 지하1층 ,서울특별시 동작구 흑석로13마길 61 지하1층 (흑석동),6910.0,준호가만드는부대찌개,20200000000000.0,U,2019-06-01 2:40,한식,196296.617,445023.521,한식,동작구 흑석동준호가만드는부대찌개,-
6,영업,,44.2,156800,서울특별시 동작구 노량진동 36-3,서울특별시 동작구 노량진로8길 39 (노량진동),6928.0,우정 감자탕 생삼겹살,20200000000000.0,U,2021-12-05 22:06,한식,194404.4561,445602.1324,,동작구 노량진동우정 감자탕 생삼겹살,-
7,영업,02 5357866,96.4,156816,서울특별시 동작구 사당동 138-3 102호 ,서울특별시 동작구 동작대로27다길 26 (사당동102호),7008.0,구구향훠궈,20200000000000.0,U,2020-12-11 2:40,한식,198181.9469,442684.3355,한식,동작구 사당동구구향훠궈,31148801
8,영업,,146.2,156030,서울특별시 동작구 상도동 500-16 1층 ,서울특별시 동작구 상도로 383 (상도동 1층),7027.0,놀부자 정육식당,20200000000000.0,U,2021-10-31 2:40,한식,195961.5667,443647.0864,한식,동작구 상도동놀부자 정육식당,1459730247
9,영업,,29.7,156839,서울특별시 동작구 상도동 354-19 ,서울특별시 동작구 상도로 127 2층 201호 (상도동),6950.0,퍼스트푸드,20200000000000.0,U,2020-07-23 2:40,한식,194086.8511,444421.063,한식,동작구 상도동퍼스트푸드,-
10,영업,02  34871001,84.76,156821,서울특별시 동작구 사당동 265-10번지 외1필지 (지하1층) ,서울특별시 동작구 사당로 220 (사당동외1필지 (지하1층)),7010.0,할미가,20200000000000.0,I,2018-08-31 23:59,한식,197472.4706,442415.476,한식,동작구 사당동할미가,1155852774
11,영업,,31.37,156801,서울특별시 동작구 노량진동 118-5 ,서울특별시 동작구 만양로 100 (노량진동),6913.0,우정Ⅲ,20200000000000.0,U,2021-12-14 2:40,한식,195016.4678,445570.5183,한식,동작구 노량진동우정Ⅲ,-
12,영업,,11.4,156800,서울특별시 동작구 노량진동 13-6 ,서울특별시 동작구 노들로 674 지상1층 매점7호 (노량진동),6900.0,우주매점,20200000000000.0,U,2021-01-10 2:40,한식,194346.1567,445823.5009,한식,동작구 노량진동우주매점,1827675196
13,영업,02 8126842,14.04,156800,서울특별시 동작구 노량진동 85-6번지 ,서울특별시 동작구 노량진로14가길 14 (노량진동),6923.0,맘스터치,20100000000000.0,I,2018-08-31 23:59,한식,194909.2496,445592.4636,한식,동작구 노량진동맘스터치,33821442
14,영업,02 8214545,102.43,156838,서울특별시 동작구 상도동 183-17번지 ,서울특별시 동작구 상도로 166 (상도동),6956.0,다채샤브 장승배기역점,20200000000000.0,U,2019-06-02 2:40,한식,194425.9645,444621.2029,한식,동작구 상도동다채샤브 장승배기역점,-
15,영업,02 8265248,56.68,156030,서울특별시 동작구 상도동 502-11 ,서울특별시 동작구 상도로61길 21 (상도동),7027.0,고기스토리,20200000000000.0,U,2021-09-29 2:40,한식,196046.2104,443658.1123,한식,동작구 상도동고기스토리,32848774
16,영업,,28.75,156857,서울특별시 동작구 흑석동 54-142번지 제1호 1층 ,서울특별시 동작구 서달로14나길 27 (흑석동 제1호 1층),6980.0,흑수돈(흑석동수제돈까스),20100000000000.0,I,2018-08-31 23:59,한식,196673.4987,444970.7665,한식,동작구 흑석동흑수돈(흑석동수제돈까스),33492432
17,영업,02 5960500,103.0,156816,서울특별시 동작구 사당동 139-84번지 ,서울특별시 동작구 동작대로27가길 5 지하1층 (사당동),7008.0,브로이제트3호점,20200000000000.0,U,2020-05-30 2:40,한식,198274.6926,442795.5984,한식,동작구 사당동브로이제트3호점,1096237126
18,영업,,42.33,156813,서울특별시 동작구 노량진동 330 삼익주상복합아파트 ,서울특별시 동작구 만양로 84 지하층 25호 (노량진동 삼익주상복합아파트),6914.0,김여사도시락,20200000000000.0,U,2021-07-25 2:40,한식,195079.2655,445413.2884,한식,동작구 노량진동김여사도시락,1838789561
